文件全称,失败次数
中华人民共和国法律、中华人民共和国行政法规,166
中华人民共和国刑法,110
中华人民共和国国家有关规定,109
中华人民共和国法律、行政法规,105
中华人民共和国安全生产法,101
中华人民共和国国务院,76
中华人民共和国产品质量法,67
,63
中华人民共和国食品安全法,59
中华人民共和国专利法,56
中华人民共和国商标法,56
中华人民共和国法律,53
中华人民共和国国家规定,48
中华人民共和国国务院组织法,47
中华人民共和国商标法实施条例,46
中华人民共和国行政处罚法,44
中华人民共和国行政许可法,42
有关法律、行政法规,41
中华人民共和国国家标准,39
建设工程质量管理条例,38
中华人民共和国民事诉讼法,38
中华人民共和国标准化法,36
中华人民共和国国家知识产权局,36
中华人民共和国保守国家秘密法,34
中华人民共和国认证认可条例,34
中华人民共和国专利法实施细则,33
中华人民共和国立法法,30
中华人民共和国建筑法,29
中华人民共和国国务院专利行政部门,28
中华人民共和国环境保护法,28
中华人民共和国民法典,27
中华人民共和国行政诉讼法,27
中华人民共和国行政法规,27
中华人民共和国建设工程质量管理条例,22
中华人民共和国个人信息保护法,22
中华人民共和国工业产品生产许可证管理条例,20
中华人民共和国行政强制法,19
中华人民共和国网络安全法,19
中华人民共和国进出口商品检验法实施条例,18
中华人民共和国节约能源法,18
中华人民共和国突发事件应对法,17
中华人民共和国公司法,17
中华人民共和国合同法,16
国家有关规定,16
中华人民共和国有关法律、行政法规,16
中华人民共和国进出口商品检验法,16
中华人民共和国政府信息公开条例,15
中华人民共和国消费者权益保护法,15
中华人民共和国地方各级人民代表大会和地方各级人民政府组织法,14
中华人民共和国科学技术进步法,14
中华人民共和国公务员法,14
中华人民共和国法律、中华人民共和国行政法规、国务院决定,13
中华人民共和国生产安全事故报告和调查处理条例,13
有关法律法规,12
中华人民共和国促进科技成果转化法,12
其他有关法律、行政法规,12
建设工程安全生产管理条例,12
中华人民共和国固体废物污染环境防治法,12
中华人民共和国大气污染防治法,12
中华人民共和国城乡规划法,11
中华人民共和国食品安全法实施条例,11
中华人民共和国标准化法实施条例,11
中华人民共和国刑事诉讼法,11
中华人民共和国水污染防治法,10
有关法律、法规,10
中华人民共和国人民法院组织法,10
中华人民共和国海关法,10
中华人民共和国仲裁法,10
国家企业信用信息公示系统,10
中华人民共和国法律法规,10
中华人民共和国价格法,10
中华人民共和国进出境动植物检疫法实施条例,10
中华人民共和国非物质文化遗产法,9
其他有关法律、法规,9
中华人民共和国数据安全法,9
中华人民共和国市场监督管理总局,9
中华人民共和国国务院规定,9
生产安全事故报告和调查处理条例,9
中华人民共和国国务院生态环境主管部门,9
国家认证认可监督管理委员会,9
中华人民共和国海关总署,9
中华人民共和国特种设备安全法,9
中华人民共和国文物保护法,8
中华人民共和国相关法律、法规,8
中华人民共和国国务院标准化行政主管部门,8
法律、行政法规,8
中华人民共和国工商行政管理法,8
中华人民共和国监察法,8
中华人民共和国著作权法,8
国家质量监督检验检疫总局,8
中华人民共和国安全生产许可证条例,8
国家市场监督管理总局,8
国家食品药品监督管理总局,8
中华人民共和国计量法,8
中华人民共和国城市房地产管理法,7
中华人民共和国传染病防治法,7
中华人民共和国有关法律、法规,7
中华人民共和国治安管理处罚法,7
中华人民共和国行政复议法,7
中华人民共和国商业银行法,7
中华人民共和国有关法律法规,7
中华人民共和国劳动合同法,7
中华人民共和国国家市场监督管理总局,7
国家互联网信息办公室,7
中华人民共和国国务院药品监督管理部门,7
中华人民共和国市场监督管理部门规定,7
价格违法行为行政处罚规定,6
中华人民共和国矿产资源法,6
中华人民共和国电力法,6
中华人民共和国企业所得税法,6
中华人民共和国宪法,6
中华人民共和国海事管理机构,6
中华人民共和国人民调解法,6
中华人民共和国国家标准、中华人民共和国行业标准,6
中华人民共和国法律、中华人民共和国行政法规、中华人民共和国部门规章,6
中华人民共和国农产品质量安全法,6
中华人民共和国国务院和中央军事委员会,6
中华人民共和国进出境动植物检疫法,6
建设项目环境保护管理条例,6
中华人民共和国国务院卫生行政部门,6
中华人民共和国水法,6
中华人民共和国民用航空法,6
中华人民共和国消防法,6
中华人民共和国交通运输部,6
中华人民共和国煤矿安全监察条例,6
中华人民共和国职业病防治法,6
缺陷汽车产品召回管理条例,6
安全生产许可证条例,6
中华人民共和国海洋环境保护法,6
中华人民共和国渔业法,5
烟花爆竹安全管理条例,5
中华人民共和国行政监察法,5
中华人民共和国企业所得税法实施条例,5
中华人民共和国反垄断法,5
中华人民共和国国务院有关部门,5
中华人民共和国对外贸易法,5
中华人民共和国国家标准管理办法,5
中华人民共和国国家赔偿法,5
中华人民共和国人民警察法,5
中华人民共和国知识产权法,5
中华人民共和国商业惯例,5
中华人民共和国食品安全国家标准,5
其他法律、行政法规,5
中华人民共和国劳动法,5
中华人民共和国外汇管理条例,5
中华人民共和国税收征收管理法,5
中华人民共和国国家放射性污染防治标准,5
国务院期货监督管理机构,5
中华人民共和国国务院核安全监督管理部门,5
中华人民共和国国务院证券监督管理机构,5
中华人民共和国种子法,5
中华人民共和国防治船舶污染海洋环境管理条例,5
铁路安全管理条例,5
中华人民共和国地方市场监督管理部门,5
中华人民共和国工业和信息化部,5
检验检测机构资质认定管理办法,5
国家安全生产监督管理总局,5
中华人民共和国政务信息共享管理办法,5
中国银行业监督管理委员会,5
专利代理条例,5
国务院优化营商环境条例,4
中华人民共和国教育法,4
中华人民共和国统计法,4
中华人民共和国职业教育法,4
河北省旅游条例,4
中华人民共和国侵权责任法,4
中华人民共和国电信条例,4
有关法律、法规的规定,4
中华人民共和国行业标准,4
中华人民共和国国家和省有关规定,4
中华人民共和国档案法,4
中华人民共和国预算法,4
中华人民共和国有关法律,4
中华人民共和国公司登记管理条例,4
中华人民共和国国家有关法律法规及规范性文件,4
中华人民共和国广告法,4
国家有关部门发布的版权预警重点保护名单,4
中华人民共和国政府采购法,4
计算机软件保护条例,4
国家标准或者行业标准,4
中华人民共和国保险法,4
