统计维度,名称,知识条目数
知识图谱类型,行政监管规则,7234
来源文件,专利实施许可合同备案办法,161
来源文件,个人信用信息基础数据库管理暂行办法,205
来源文件,中华人民共和国海关进出口货物商品归类管理规定,163
来源文件,中华人民共和国海关进出口货物申报管理规定,215
来源文件,中国注册会计师审计准则,121
来源文件,产品标识标注规定,135
来源文件,企业会计准则,123
来源文件,企业内部控制基本规范,312
来源文件,企业内部控制应用指引第15号——全面预算,100
来源文件,企业年度检验办法,273
来源文件,企业经营异常名录管理暂行办法,132
来源文件,企业经营范围登记管理规定,127
来源文件,企业职工培训规定,167
来源文件,会计档案管理办法,225
来源文件,关于禁止商业贿赂行为的暂行规定,84
来源文件,商业银行信用风险内部评级体系监管指引,1310
来源文件,境外投资管理办法,225
来源文件,安全生产培训管理办法,300
来源文件,强制性产品认证管理规定,429
来源文件,政府采购货物和服务招标投标管理办法,651
来源文件,特别纳税调整实施办法（试行）,814
来源文件,电子信息产品污染控制管理办法,187
来源文件,电子商业汇票业务管理办法,509
来源文件,纳税信用管理办法(试行),266
